reactants,products
C c 1 c c 2 c ( [N+] ( = O ) [O-] ) c c c c 2 c [n+] 1 [O-] . O = P ( Cl ) ( Cl ) Cl ,C c 1 c c 2 c ( [N+] ( = O ) [O-] ) c c c c 2 c ( Cl ) n 1
O C 1 c 2 c c c c c 2 O c 2 n c c c c 2 1 ,c 1 c c c 2 c ( c 1 ) C c 1 c c c n c 1 O 2
O = c 1 c 2 c c ( C = N O ) c c c 2 o c 2 n c c c c 1 2 ,N # C c 1 c c c 2 o c 3 n c c c c 3 c ( = O ) c 2 c 1
O = C ( [O-] ) c 1 c c c 2 o c 3 n c c c c 3 c ( = O ) c 2 c 1 . O = S ( Cl ) Cl ,O = C ( Cl ) c 1 c c c 2 o c 3 n c c c c 3 c ( = O ) c 2 c 1
N c 1 c c c ( O c 2 c c c c ( Cl ) n 2 ) c c 1 . O = C ( Cl ) Cl ,O = C = N c 1 c c c ( O c 2 c c c c ( Cl ) n 2 ) c c 1
N c 1 c c c ( O c 2 c c c c ( Cl ) n 2 ) c c 1 . S = C ( Cl ) Cl ,S = C = N c 1 c c c ( O c 2 c c c c ( Cl ) n 2 ) c c 1
C c 1 c c ( O ) c c ( = O ) o 1 . O = S ( = O ) ( S c 1 c c c c c 1 ) c 1 c c c c c 1 ,C c 1 c c ( O ) c ( S c 2 c c c c c 2 ) c ( = O ) o 1
C c 1 c c ( O ) c c ( = O ) o 1 . O = S ( = O ) ( S c 1 c c c c c 1 ) c 1 c c c c c 1 ,C c 1 c c ( O ) c ( S c 2 c c c c c 2 ) c ( = O ) o 1
C c 1 c c ( O ) c c ( = O ) o 1 . Cl S c 1 c c c c c 1 ,C c 1 c c ( O ) c ( S c 2 c c c c c 2 ) c ( = O ) o 1
C c 1 c c ( O ) c c ( = O ) o 1 . Cl S c 1 c c c c c 1 ,C c 1 c c ( O ) c ( S c 2 c c c c c 2 ) c ( = O ) o 1
N c 1 c ( Cl ) c c ( Cl ) c c 1 C ( = O ) O ,O = C ( O ) c 1 c c ( Cl ) c c ( Cl ) c 1
N c 1 c ( Cl ) c c ( Cl ) c c 1 C ( = O ) O ,O = C ( O ) c 1 c c ( Cl ) c c ( Cl ) c 1
